Requisito,Tipo,Historia de Usuario,Estado,Prioridad,Estimacion,Responsable,Puntos,Tiempo,Sprint,Dependencia,Regla de negocio,Criterios de Aceptacion,Criterios de Rechazo
RF-18,F,"Como usuario, quiero realizar una búsqueda global de contratos, empresas y entidades para encontrar información rápidamente sin navegar manualmente.",Por hacer,Alta,Alta,Yesid,6.5,6.5 horas,Sprint 3,RF-12,"El endpoint GET /api/buscar?q=texto debe hacer búsqueda parcial sobre contratista_nombre, contratista_nit, nombre_entidad y descripcion_del_proceso. En el frontend se aplica debounce de 300 milisegundos y se cancelan peticiones anteriores. Debe devolver resultados agrupados con un máximo de 10 por grupo.","1. El sistema debe devolver resultados de búsqueda parcial sobre contratista_nombre, contratista_nit, nombre_entidad y descripcion_del_proceso | 2. El sistema debe aplicar un debounce de 300 milisegundos en el frontend al escribir el texto de búsqueda | 3. El sistema debe cancelar las peticiones de búsqueda anteriores cuando el usuario cambia el texto | 4. El sistema debe devolver resultados agrupados (contratos, empresas, entidades) con un máximo de 10 por grupo | 5. DADO que el usuario escribe un término sin coincidencias, CUANDO busca, ENTONCES el sistema devuelve un estado vacío sin error","1. El sistema dispara una petición por cada tecla sin debounce, sobrecargando el servidor | 2. Las respuestas de búsquedas antiguas sobrescriben a las nuevas (race condition) | 3. La búsqueda no encuentra coincidencias por nombre de entidad aunque existan | 4. El sistema devuelve más de 10 resultados por grupo sin limitar"
RNF-07,NF,"Como sistema, debo mantener una interfaz fluida a 60 cuadros por segundo para no degradar la experiencia con grandes volúmenes de datos.",Por hacer,Alta,Media,Yesid,1,1 hora,Sprint 3,RF-12,Las tablas con grandes volúmenes deben usar virtualización para renderizar solo las filas visibles (máximo 50 nodos en el DOM). Las consultas deben cachearse en el cliente para evitar repeticiones. La renderización de la interfaz no debe bajar de 60 cuadros por segundo.,"1. El sistema debe renderizar las tablas con grandes volúmenes usando virtualización, mostrando máximo 50 filas en el DOM | 2. El sistema debe cachear las consultas en el cliente mediante la gestión de estado del frontend para evitar repeticiones | 3. DADO que se interactúa con la tabla o los gráficos sobre un conjunto de al menos 50000 registros, CUANDO se desplaza o actualiza la vista, ENTONCES el tiempo entre fotogramas no supera 16.67 milisegundos (equivalente a 60 cuadros por segundo), medido con la herramienta de análisis de rendimiento del navegador durante una interacción sostenida de 30 segundos",1. La tabla renderiza todas las filas al DOM superando los 50 nodos visibles | 2. Las interacciones del dashboard caen por debajo de 60 cuadros por segundo con datos grandes | 3. Las consultas repetidas no usan caché y se vuelven a solicitar innecesariamente al servidor | 4. El dashboard se congela al desplazarse por una tabla con muchos registros
RNF-08,NF,"Como sistema, debo registrar un registro de auditoría de las acciones relevantes de los usuarios para trazabilidad y control.",Por hacer,Media,Media,Yesid,1,1 hora,Sprint 3,RF-08,"Debe registrarse en un log persistente cada acción relevante del usuario: inicio de sesión, cierre de sesión, exportación de datos y modificación de configuración. Cada entrada debe incluir usuario, acción, fecha/hora y detalle. El registro no debe exponer contraseñas ni datos sensibles.","1. El sistema debe registrar en un log persistente cada acción relevante del usuario: inicio de sesión, cierre de sesión, exportación de datos y modificación de configuración | 2. Cada entrada del log debe incluir usuario, acción, fecha/hora y detalle | 3. El sistema debe evitar exponer contraseñas o datos sensibles en los registros de auditoría | 4. DADO que se realiza una exportación, CUANDO finaliza, ENTONCES queda registrada la acción con su usuario y fecha",1. El sistema registra la contraseña u otra información sensible en el log | 2. Al cerrar sesión no queda registro de auditabilidad | 3. El registro no incluye la fecha/hora ni el usuario que ejecutó la acción | 4. Las acciones de exportación no se registran en el log
RNF-14,NF,"Como sistema, debo ser mantenible mediante patrones de diseño y desacoplamiento para facilitar los cambios futuros.",Por hacer,Media,Media,Yesid,1,1 hora,Sprint 3,RF-01,"El backend debe estructurarse en módulos con responsabilidades separadas: modelos, serializadores, vistas y lógica de ingesta. El acceso a datos debe centralizarse para que un cambio de fuente o de motor de base de datos no implique reescribir las vistas. El código debe seguir un estándar de estilo definido y verificable.","1. El backend debe estructurarse en módulos con responsabilidades separadas: modelos, serializadores, vistas y lógica de ingesta | 2. El acceso a datos debe centralizarse para que un cambio de fuente o de motor de base de datos no implique reescribir las vistas | 3. El código debe seguir un estándar de estilo definido y verificable | 4. DADO que se requiere un cambio en la fuente de datos, CUANDO se modifica, ENTONCES solo se afecta el módulo correspondiente sin tocar las vistas","1. La lógica de ingesta, vista y serialización está mezclada en un solo archivo sin separación | 2. Un cambio de fuente de datos obliga a reescribir las vistas del API | 3. El código no cumple un estándar de estilo verificable consistente | 4. La lógica de acceso a datos está duplicada a lo largo del código"
RF-17,F,"Como usuario, quiero ver un grafo de conexiones entre entidades y contratistas para detectar si una persona o empresa concentra contratos en un municipio.",Por hacer,Alta,Alta,Yesid,6,6 horas,Sprint 4,RF-12,Se debe usar una librería de graficación de fuerzas (force graph). Cada nodo representa una entidad o contratista y cada arista un contrato. El grosor de la arista es proporcional al monto y el color representa la modalidad. Debe permitir hacer zoom y mover nodos de forma interactiva.,"1. El sistema debe renderizar un grafo de red con nodos que representen entidades y contratistas y aristas que representen contratos, usando una librería de graficación de fuerzas | 2. El sistema debe dimensionar el grosor de cada arista de forma proporcional al monto del contrato | 3. El sistema debe colorear cada arista según la modalidad de contratación | 4. DADO que el grafo tiene muchos nodos, CUANDO se visualiza, ENTONCES el grafo permite hacer zoom y mover nodos de forma interactiva sin congelarse","1. El grafo no responde al zoom ni permite mover nodos (estático e inutilizable) | 2. Todas las aristas se ven del mismo grosor sin reflejar el monto del contrato | 3. Las aristas no se distinguen por modalidad, todas del mismo color | 4. El grafo se vuelve inutilizable o colapsa al mostrar muchos nodos"
RF-19,F,"Como usuario, quiero ver alertas de banderas rojas de concentración de contratación para detectar posibles irregularidades en el gasto público.",Por hacer,Alta,Media,Yesid,1,1 hora,Sprint 4,RF-13,"Se debe marcar con bandera roja un contratista que concentre más de un porcentaje configurable del presupuesto de una entidad en un periodo configurable. Debe mostrar el contratista, la entidad, el porcentaje de concentración y el monto. El umbral debe ser configurable por el administrador.","1. El sistema debe marcar con bandera roja un contratista que concentre más de un porcentaje configurable del presupuesto de una entidad en un periodo configurable | 2. El sistema debe mostrar la alerta con el contratista, la entidad, el porcentaje de concentración y el monto involucrado | 3. DADO que un contratista no supera el umbral de concentración, CUANDO se evalúa, ENTONCES no se muestra como bandera roja | 4. El sistema debe permitir al administrador configurar el umbral de concentración | 5. DADO que el umbral se modifica, CUANDO se vuelven a evaluar los datos, ENTONCES las banderas rojas se recalculan según el nuevo umbral","1. El sistema marca banderas rojas con un umbral fijo que no puede configurarse | 2. La alerta no muestra el porcentaje de concentración ni el monto | 3. El sistema marca como bandera roja contratistas que no superan el umbral configurado | 4. Al cambiar el umbral, las banderas rojas no se recalculan"
RF-20,F,"Como usuario, quiero ver la alerta de predominio de contratación directa para detectar posibles casos de fraccionamiento de contratos.",Por hacer,Media,Baja,Yesid,1,1 hora,Sprint 4,RF-19,Se debe marcar con bandera roja una entidad cuyo porcentaje de contratos en modalidad de contratación directa supere un umbral configurable en montos altos. El umbral de predominio y el de concentración deben ser configurables por el administrador.,"1. El sistema debe marcar con bandera roja una entidad cuyo porcentaje de contratos en modalidad de contratación directa supere un umbral configurable en montos altos | 2. El sistema debe permitir configurar tanto el umbral de predominio como el de concentración | 3. DADO que una entidad no supera el umbral de predominio de contratación directa, CUANDO se evalúa, ENTONCES no se marca como bandera roja | 4. El sistema debe mostrar el porcentaje de contratación directa y el monto asociado para cada bandera","1. El sistema marca banderas de predominio con un umbral fijo sin opción de configurarlo | 2. Solo algunos umbrales del módulo de banderas son configurables y otros fijos, generando inconsistencia | 3. La alerta no muestra el porcentaje de contratación directa ni el monto | 4. El sistema marca una entidad como bandera roja sin que supere el umbral configurado"
RF-21,F,"Como usuario, quiero exportar los resultados de un análisis a un archivo para compartir la información con otros interesados.",Por hacer,Media,Media,Yesid,1,1 hora,Sprint 4,RF-13,El endpoint de exportación debe generar un archivo CSV con codificación UTF-8 con BOM que abra correctamente en Excel. La exportación debe respetar el conjunto de datos filtrado actualmente. Los valores numéricos deben expresarse con separador decimal de punto.,"1. El sistema debe generar un archivo CSV que respete el conjunto de datos filtrado actualmente | 2. El archivo CSV debe usar codificación UTF-8 con BOM para que los caracteres especiales se abran correctamente en Excel | 3. Los valores numéricos del CSV deben expresarse con separador decimal de punto | 4. DADO que no hay datos que coincidan con los filtros, CUANDO se exporta, ENTONCES el sistema genera el archivo con solo la cabecera sin error",1. El CSV se abre en Excel mostrando caracteres extraños por falta de BOM | 2. El archivo exporta datos globales en lugar del resultado filtrado actual | 3. Los valores numéricos usan coma como separador decimal rompiendo la lectura en Excel | 4. La exportación con cero resultados devuelve un error en lugar de un archivo vacío
RF-22,F,"Como usuario, quiero recuperar mi contraseña cuando la olvide para volver a acceder a mi cuenta.",Por hacer,Media,Media,Yesid,1,1 hora,Sprint 4,RF-04,"El flujo debe enviar un enlace de recuperación único que expire a los 30 minutos. Al usar el enlace, el usuario debe crear una nueva contraseña que cumpla la política de complejidad. El enlace debe ser de un solo uso.","1. DADO que el usuario olvida su contraseña, CUANDO solicita recuperarla, ENTONCES el sistema envía un enlace de recuperación único | 2. El enlace de recuperación debe expirar a los 30 minutos de emitido | 3. DADO que el usuario usa el enlace para crear una nueva contraseña, CUANDO la guarda, ENTONCES debe cumplir la política de complejidad | 4. El enlace de recuperación debe ser de un solo uso; al usarse una vez deja de ser válido | 5. DADO que el usuario ingresa un correo no registrado, CUANDO solicita la recuperación, ENTONCES el sistema responde HTTP 200 sin revelar si el correo existe y no envía ningún enlace",1. El enlace de recuperación no expira o dura más de 30 minutos | 2. El enlace puede reutilizarse más de una vez para cambiar la contraseña | 3. El sistema acepta una nueva contraseña que no cumple la política de complejidad | 4. El sistema envía el enlace a cualquier dirección sin verificar que pertenezca al usuario
RF-23,F,"Como administrador del sistema, quiero gestionar el catálogo de datos y monitorear los procesos mediante un panel de administración para mantener la plataforma sin escribir SQL.",Por hacer,Media,Media,Yesid,3,3 horas,Sprint 4,RF-07,"El panel de administración debe permitir gestionar los modelos de contrato y de proceso de ingesta, mostrar el estado y progreso de cada ingesta y auditar los registros cargados. No es el producto principal sino una herramienta de soporte, por lo que se ubica en el sprint final.",1. El sistema debe permitir administrar los modelos de contrato y de proceso de ingesta mediante el panel de administración sin escribir SQL | 2. El panel de administración debe mostrar el estado y el progreso de cada ingesta | 3. El panel debe permitir auditar los registros cargados | 4. El panel es una herramienta de soporte accesible únicamente por el administrador autenticado,1. El panel de administración no muestra el estado ni el progreso de las ingestas | 2. Usuarios sin permisos de administrador pueden acceder al panel | 3. El panel no permite visualizar los registros de contrato cargados | 4. La gestión desde el panel requiere escribir SQL en lugar de usar la interfaz
RF-24,F,"Como administrador del sistema, quiero configurar los umbrales de las alertas de banderas rojas para ajustar los criterios de detección según la política de la organización.",Por hacer,Media,Baja,Yesid,1,1 hora,Sprint 4,RF-19,La configuración de umbrales debe persistirse en la base de datos. Los cambios deben aplicar a las consultas de banderas rojas posteriores sin requerir reinicio. La interfaz debe listar los umbrales actuales y validar que los valores estén en rangos permitidos.,"1. El sistema debe persistir la configuración de umbrales de banderas rojas en la base de datos | 2. DADO que el administrador cambia un umbral, CUANDO guarda la configuración, ENTONCES los cambios aplican a las consultas posteriores de banderas rojas sin reiniciar el sistema | 3. El sistema debe listar los umbrales actuales en la interfaz de configuración | 4. El sistema debe validar que los valores de umbral estén dentro de los rangos permitidos, rechazando valores inválidos con HTTP 400",1. Los cambios de umbral no se persisten y se pierden al reiniciar | 2. El sistema aplica el nuevo umbral solo después de un reinicio manual | 3. El administrador no puede ver los umbrales configurados actualmente | 4. El sistema acepta un valor de umbral fuera del rango permitido sin validarlo
RF-26,F,"Como administrador del sistema, quiero programar la actualización periódica de los datos de contratación para mantener la información al día sin intervención manual.",Por hacer,Media,Alta,Yesid,5,5 horas,Sprint 4,RF-06,"La actualización debe permitir ejecutarse de forma periódica reutilizando la lógica de ingesta paginada, sin duplicar registros ya existentes mediante la detección por id_contrato. Debe existir un mecanismo para registrar la fecha y hora de la última actualización y el estado de la misma.","1. El sistema debe permitir ejecutar la actualización de datos de forma periódica reutilizando la lógica de ingesta paginada | 2. El sistema debe evitar duplicar registros existentes durante la actualización detectando los ya cargados por id_contrato | 3. El sistema debe registrar la fecha y hora de la última actualización y su estado | 4. DADO que una actualización está en curso, CUANDO se evalúa, ENTONCES el estado se registra coherentemente y no se mezcla con datos de otra actualización","1. Una actualización periódica duplica los registros ya existentes | 2. El sistema no reutiliza la lógica de ingesta y reimplementa la carga por separado | 3. No queda registro de la fecha y hora de la última actualización | 4. Si la actualización falla, el sistema no registra el estado y el error"
RF-27,F,"Como usuario, quiero consultar las estadísticas de contratación por entidad para conocer el desempeño y la concentración de cada entidad.",Por hacer,Media,Media,Yesid,3,3 horas,Sprint 4,RF-25,"El endpoint GET /api/por-entidad debe agrupar por entidad y devolver total_contratado, total_contratos, distribución por modalidad y top contratistas de la entidad. Debe soportar filtro por departamento y rango de fechas.","1. El sistema debe permitir consultar el total contratado, el total de contratos, la distribución por modalidad y el top de contratistas de una entidad | 2. El sistema debe soportar filtros por departamento y rango de fechas en la consulta de estadísticas por entidad | 3. El sistema debe agrupar el análisis por el modelo de entidad y no como texto plano | 4. DADO que se consulta una entidad sin contratos, CUANDO se obtienen estadísticas, ENTONCES se devuelve total 0 sin error",1. Las estadísticas no permiten filtrar por departamento o rango de fechas | 2. El sistema agrupa por el campo de texto de la entidad en lugar del modelo separado | 3. Las estadísticas devuelven el top de contratistas incompleto o sin montos | 4. La consulta de una entidad sin contratos devuelve un error en lugar de total 0
RF-28,F,"Como usuario, quiero ver una lista de todas las entidades con su información para explorar el catálogo de entidades de contratación.",Por hacer,Media,Baja,Yesid,1,1 hora,Sprint 4,RF-25,"El endpoint GET /api/entidades debe devolver el listado paginado de entidades con nombre, NIT, departamento, ciudad y sector. Debe ordenarse por nombre y permitir búsqueda por nombre o NIT. Debe requerir paginación con un máximo de 100 registros por página.","1. El sistema debe devolver el listado paginado de entidades con nombre, NIT, departamento, ciudad y sector | 2. El sistema debe ordenar el listado por nombre de entidad | 3. El sistema debe permitir búsqueda por nombre o NIT en el listado | 4. El sistema debe paginar con un máximo de 100 entidades por página | 5. DADO que se solicita una página fuera de rango, CUANDO se consulta, ENTONCES el sistema responde HTTP 400",1. El listado de entidades no está paginado y devuelve todas de una vez | 2. El sistema no permite buscar por nombre o NIT de la entidad | 3. El listado devuelve más de 100 entidades por página | 4. La búsqueda por NIT no devuelve la entidad buscada aunque exista
RNF-09,NF,"Como sistema, debo mantener una copia de respaldo de los datos ingestados para recuperarlos ante fallas o pérdidas.",Por hacer,Media,Media,Yesid,1,1 hora,Sprint 4,RF-06,"La base de datos debe configurarse con respaldo automático y retención mínima de 7 días. Debe existir un procedimiento documentado de restauración. Ante falla de conexión a la base de datos, la interfaz debe mostrar un mensaje de servicio no disponible.","1. La base de datos debe configurarse con respaldo automático y una retención mínima de 7 días | 2. El sistema debe contar con un procedimiento documentado de restauración de los datos | 3. DADO que la base de datos no está disponible, CUANDO el usuario consulta, ENTONCES la interfaz muestra un mensaje de servicio no disponible en lugar de fallar silenciosamente",1. La base de datos no tiene respaldo automático o la retención es menor a 7 días | 2. No existe documentación del procedimiento de restauración | 3. La interfaz muestra un error técnico en crudo cuando la base de datos no está disponible | 4. Los datos ingestados no tienen forma de recuperarse ante una pérdida
RNF-10,NF,"Como sistema, debo desplegarse de forma reproducible y documentada para reducir errores de configuración en producción.",Por hacer,Media,Media,Yesid,1,1 hora,Sprint 4,RF-02,"El despliegue debe realizarse en proveedores de nube para la base de datos, el backend y el frontend, todos usando HTTPS. Debe existir documentación de despliegue con pasos reproducibles. Las migraciones deben aplicarse antes de publicar el código, y el proceso debe ser el descrito por las variables de entorno.","1. El sistema debe desplegarse en proveedores de nube para la base de datos, el backend y el frontend, todos usando HTTPS | 2. El sistema debe contar con documentación de despliegue con pasos reproducibles | 3. El sistema debe aplicar las migraciones antes de publicar el código en producción | 4. Los valores de configuración por entorno deben provenir de variables de entorno separadas por entorno","1. El despliegue se realiza sin HTTPS en alguno de los componentes | 2. Las migraciones se aplican después de publicar el código, rompiendo el esquema en producción | 3. No existe documentación que permita reproducir el despliegue | 4. Los entornos comparten valores de configuración entre desarrollo y producción"
RNF-11,NF,"Como sistema, debo ser accesible mediante teclado y con contraste adecuado para que personas con distintas capacidades puedan usarlo.",Por hacer,Media,Baja,Yesid,1,1 hora,Sprint 4,RF-12,Todos los elementos interactivos deben ser alcanzables con teclado usando la tecla de tabulación. El contraste entre texto y fondo debe cumplir la relación mínima de 4.5:1 para texto normal según el estándar de accesibilidad web. Los elementos de foco deben ser visibles.,"1. Todos los elementos interactivos (botones, filtros, enlaces) deben ser alcanzables y operables con el teclado usando la tecla de tabulación | 2. El contraste entre texto y fondo debe cumplir una relación mínima de 4.5:1 para texto normal | 3. El sistema debe mostrar un indicador de foco visible al navegar con teclado | 4. DADO que el usuario navega solo con teclado, CUANDO recorre la interfaz, ENTONCES puede acceder a todas las funciones sin usar el ratón",1. El contraste de texto no alcanza la relación 4.5:1 definida | 2. Los elementos interactivos no se pueden alcanzar con teclado | 3. No hay indicador visible de foco al navegar con teclado | 4. Algún panel o modal queda inaccesible sin el uso del ratón
RNF-12,NF,"Como sistema, debo ser compatible con los navegadores modernos principales para permitir el acceso de la mayoría de usuarios.",Por hacer,Media,Baja,Yesid,1,1 hora,Sprint 4,RF-12,El frontend debe funcionar correctamente en las últimas versiones de los navegadores principales. Debe emplearse JavaScript moderno compatible y el código de producción debe estar optimizado y minificado para reducir tiempo de carga.,"1. El sistema debe funcionar correctamente en las últimas versiones de los principales navegadores (Chrome, Firefox, Edge, Safari) | 2. El sistema debe emplear JavaScript moderno compatible con los navegadores soportados | 3. El código de producción debe estar optimizado y minificado para reducir el tiempo de carga | 4. DADO que el usuario abre la interfaz en uno de los navegadores soportados, CUANDO la usa, ENTONCES todas las funciones principales operan sin errores de consola","1. La interfaz no funciona en alguno de los navegadores principales soportados | 2. El bundle de producción no está minificado, aumentando el tiempo de carga | 3. Se usan características de JavaScript que no son compatibles con los navegadores declarados | 4. Se producen errores de consola en funciones principales en un navegador soportado"
